id,family,hypothesis,edge_source,evidence_grade,key_references,markets,timeframes,sqx_skeleton,phase1_test,priority,prop_fit,status,notes
TF-01,F1 Trend,"Donchian breakout (N 20-100) with ATR trailing stop, multi-asset basket",Behavioural,A,Moskowitz Ooi Pedersen 2012; Hurst Ooi Pedersen 2017; Szakmary et al 2010,"Indices, metals, energy, FX majors, bonds",D1,F1 Skeleton A (stop at Highest/Lowest),Forward returns after N-bar-high breaks vs unconditional; variance ratio >1 at 20-60d,1,Low,proposed,Must pass on >=60% of an 8+ market basket with shared parameters
TF-02,F1 Trend,"Momentum sign / dual-MA, multi-asset basket",Behavioural,A,Levine Pedersen 2016; Moskowitz Ooi Pedersen 2012,"Indices, metals, energy, FX majors, bonds",D1,F1 Skeleton B (market on ROC/MA),Same as TF-01,1,Low,proposed,Expect high correlation with TF-01; keep the better one per market
TF-03,F1 Trend,H4 trend entries filtered by D1 trend (multi-timeframe),Behavioural,A,Moskowitz Ooi Pedersen 2012; Schulmeister 2009,"Metals, energy, indices",H4 + D1,F1 Skeleton A/B in multi-TF mode,Variance ratio at H4 horizons per market,2,Medium,proposed,
TF-04,F1 Trend,"Crypto time-series momentum, 1-4 week lookback",Behavioural,B,Liu Tsyvinski 2021,"BTC, ETH",D1,F1 Skeleton B,Forward 1-4w returns conditional on past 1-4w sign,3,Low,proposed,Separate sleeve; 24/7 D1 bar definition must be fixed
TF-05,F1 Trend,FX trend only in the carry-positive direction,Behavioural + risk premium,B,Menkhoff et al 2012b; Burnside Eichenbaum Rebelo 2011,FX majors and crosses,D1,F1 + carry filter (see CA-01),Trend returns split by carry sign,2,Low,proposed,Merge with CA-01 if identical
MR-01,F2 Index MR,RSI(2-5) or IBS dip-buy above SMA(200),Structural + risk premium,B,Baltussen van Bekkum Da 2019; Pagonidis 2013; Connors Alvarez 2009,"US500, US100 first; others (GER40, UK100, JP225) tested separately",D1,F2 skeleton (long only),Next-day return by IBS bucket and after N-day lows above/below SMA200,1,High,proposed,Pagonidis: IBS effect mainly US; Baltussen et al.: index reversal global. Beat an exposure-matched benchmark
MR-02,F2 Index MR,N-day-low close with a limit entry below the close,Structural + risk premium,B,Baltussen van Bekkum Da 2019; Connors Alvarez 2009,Index basket,D1,F2 skeleton with limit entry,Forward 1-5d returns after N-day lows,1,High,proposed,Require trade-through for limit fills
MR-03,F2 Index MR,MR only when volatility (ATR percentile or VIX) is elevated,Risk premium (liquidity provision),B,Nagel 2012,Index basket,D1,F2 skeleton + vol filter (multi-symbol VIX optional),MR-01 returns split by vol tercile,2,Medium,proposed,Mechanism check: returns should rise with vol
MR-04,F2 Index MR,Fade strong last-hour moves over the next 1-3 days,Structural (reversal of hedging pressure),B,Baltussen Da Lammers Martens 2021,"US500, US100, GER40",H1 entry / D1 hold,F2 variant with intraday trigger,Next 1-3d return vs last-hour return,2,Medium,proposed,
MR-05,F2 Index MR,Control: short-side MR below SMA(200),Control,C,Baltussen van Bekkum Da 2019,Index basket,D1,F2 skeleton (short only),Same as MR-01 (short side),3,Low,proposed,Expected weak; documents asymmetry
IM-01,F3 Intraday momentum,Last-30-minute continuation in the direction of the rest-of-day return,Structural (gamma hedging),B,Gao Han Li Zhou 2018; Baltussen Da Lammers Martens 2021; Rosa 2022 (OOS decay),"US500, US100 (+ US30, GER40)",M5-M30,F3 Skeleton A (session-anchored return custom block),Regression of last-30-min return on first-30-min / rest-of-day return,1,High,proposed,Verified: see evidence/edges/IM-01. Use a signal-size threshold (Rosa 2022); test post-2013 and post-2022 separately; Baltussen results gross of costs
IM-02,F3 Intraday momentum,15/30/60-minute opening-range breakout,Structural + behavioural,B,Crabel 1990; Zarattini Aziz 2023; Holmberg et al 2013; Tsai et al 2019 (IEEE Access),"US100, US500, GER40",M5-M15,F3 Skeleton B,Forward return to close after OR break vs unconditional,1,High,proposed,Three incompatible ORB definitions in the evidence (first-candle / range stop-entry / open threshold); see evidence/edges/IM-02
IM-03,F3 Intraday momentum,ORB on crude oil and gold,Structural + behavioural,B,Holmberg Lonnbark Lundstrom 2013,"WTI, XAUUSD",M5-M15,F3 Skeleton B,Same as IM-02,2,High,proposed,
IM-04,F3 Intraday momentum,Noise-area intraday momentum (open +/- avg move-from-open at same time of day),Structural + behavioural,B-,Zarattini Aziz Barbon 2024,US500,M30 checks,F3 Skeleton C (custom indicator),Hit-rate of continuation after band break,2,High,proposed,Working paper; full formula spec in evidence/edges/IM-04; most Sharpe gain from the VWAP exit choice
IM-05,F3 Intraday momentum,Intraday momentum only on high-volatility days,Structural + behavioural,B,Gao et al 2018; Li Sakkas Urquhart 2022; Rosa 2022,"US500, US100, GER40",M5-M30,F3 A/B + range/ATR filter,IM-01 regression split by volatility tercile,2,High,proposed,
